registrant_name,times_lobbied,avg_amount,total_amout,start_year,end_year,unique_years,policy_issue
BUSINESS COUNCIL FOR SUSTAINABLE ENERGY,4,35000,140000,2018,2019,2,solar_power
"BWX TECHNOLOGIES, INC.",1,230000,230000,2010,2010,1,solar_power
CALIFORNIA ASSOCIATION OF REALTORS,8,29939.75,239518,2015,2016,2,solar_power
CALIFORNIA INDEPENDENT SYSTEM OPERATOR,1,0,0,2012,2012,1,solar_power
CALPINE CORPORATION,19,948947.3684210526,18030000,2018,2020,3,solar_power
"CANYON SNOW CONSULTING, LLC",4,0,0,2011,2011,1,solar_power
"CAPITAL E, LLC",2,0,0,2004,2004,1,solar_power
"CAPITALEDGE STRATEGIES, LLC",8,0,0,2011,2012,2,solar_power
"CAPITOL ADVOCACY & GOVERNMENT AFFAIRS, LLC",10,0,0,2019,2021,3,solar_power
CAPITOL ADVOCACY PARTNERS,3,0,0,2018,2018,1,solar_power
"CAPITOL CITY GROUP, LTD.",18,0,0,2011,2020,7,solar_power
CAPITOL COUNSEL LLC,15,0,0,2010,2014,5,solar_power
CAPITOL HILL CONSULTING GROUP,11,0,0,2010,2013,4,solar_power
"CARDENAS PARTNERS, LLC",6,0,0,2010,2014,4,solar_power
CARNEGIE MELLON UNIVERSITY,3,88333.33333333333,265000,2012,2012,1,solar_power
CASE WESTERN RESERVE UNIVERSITY,12,114166.66666666667,1370000,2018,2021,4,solar_power
"CASSIDY & ASSOCIATES, INC.",30,0,0,2010,2021,5,solar_power
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",3,0,0,2013,2013,1,solar_power
CENTER FOR BIOLOGICAL DIVERSITY,3,20136.333333333332,60409,2021,2021,1,solar_power
CENTER FOR INDIVIDUAL FREEDOM,3,9000,27000,2015,2020,2,solar_power
CENTERPOINT ENERGY,3,140000,420000,2014,2021,2,solar_power
"CENTERPOINT ENERGY, INC.",1,723000,723000,2014,2014,1,solar_power
CHAMBER OF COMMERCE OF THE U.S.A.,13,21616923.076923076,281020000,2009,2021,5,solar_power
"CITIZENS FOR RESPONSIBLE ENERGY SOLUTIONS, INC.",4,332500,1330000,2019,2020,2,solar_power
CMS ENERGY CORP,8,293750,2350000,2013,2021,4,solar_power
COALITION FOR A PROSPEROUS AMERICA,1,100000,100000,2021,2021,1,solar_power
COGENT STRATEGIES LLC,8,0,0,2017,2021,3,solar_power
"COHEN & GRIGSBY, P.C.",3,0,0,2015,2015,1,solar_power
"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",3,183333.33333333334,550000,2016,2021,2,solar_power
"CONSUMER REPORTS, INC. (F.K.A. CONSUMERS UNION OF UNITED STATES, INC.)",1,60000,60000,2015,2015,1,solar_power
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",1,0,0,2010,2010,1,solar_power
CORNING INCORPORATED,2,380000,760000,2021,2021,1,solar_power
CREDIT UNION NATIONAL ASSOCIATION,1,1010000,1010000,2020,2020,1,solar_power
CT GROUP FKA CTF GLOBAL LLC,1,0,0,2012,2012,1,solar_power
DANFOSS INC.,3,23325.333333333332,69976,2013,2013,1,solar_power
DAVIS & HARMAN LLP,16,0,0,2011,2014,4,solar_power
DAYTON DEVELOPMENT COALITION,2,35000,70000,2020,2020,1,solar_power
DEFENDERS OF WILDLIFE,1,85978,85978,2011,2011,1,solar_power
DEL MONTE FOODS,1,45000,45000,2010,2010,1,solar_power
"DISTRICT STRATEGIES, LLC",1,0,0,2017,2017,1,solar_power
"DOMER CONSULTING, LLC",1,0,0,2019,2019,1,solar_power
DOW CORNING CORPORATION,1,200000,200000,2012,2012,1,solar_power
DOW LOHNES GOVERNMENT STRATEGIES LLC,14,0,0,2010,2013,4,solar_power
DUKE ENERGY CORPORATION,12,1396833.3333333333,16762000,2013,2021,5,solar_power
"DUPONT DE NEMOURS, INC.",2,400000,800000,2021,2021,1,solar_power
EARTHJUSTICE,7,103372.68714285715,723608.81,2015,2019,3,solar_power
EDISON ELECTRIC INSTITUTE,9,2219194,19972746,2013,2021,5,solar_power
EDISON INTERNATIONAL,2,597000,1194000,2011,2016,2,solar_power
"EMMER CONSULTING, INC. (FORMERLY KNOWN AS EMMER CONSULTING, P.C.)",21,0,0,2010,2021,7,solar_power
"ENEL NORTH AMERICA, INC. AND ITS AFFILIATES",1,90000,90000,2018,2018,1,solar_power
"ENTERGY SERVICES, LLC",1,450000,450000,2015,2015,1,solar_power
"ENVIRONMENT AMERICA, INC.",2,61565.744999999995,123131.48999999999,2011,2012,2,solar_power
EQUIPMENT LEASING AND FINANCE ASSOCIATION,2,110000,220000,2015,2016,2,solar_power
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),1,0,0,2021,2021,1,solar_power
"EXELON BUSINESS SERVICES, LLC",2,1525000,3050000,2016,2016,1,solar_power
FAEGRE BAKER DANIELS CONSULTING,2,0,0,2018,2019,2,solar_power
FARRAGUT PARTNERS LLP,4,0,0,2020,2021,2,solar_power
FBB FEDERAL RELATIONS,9,0,0,2010,2012,3,solar_power
FEDERAL SCIENCE PARTNERS LLC,24,0,0,2017,2020,4,solar_power
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),2,0,0,2021,2021,1,solar_power
"FIRST SOLAR, INC.",6,157500,945000,2010,2016,5,solar_power
FIRSTENERGY CORP,1,438769,438769,2015,2015,1,solar_power
FOLEY & LARDNER LLP,10,0,0,2019,2021,3,solar_power
"FRAMATOME, INC. (FORMELY KNOWN AS AREVA, INC.)",6,171666.66666666666,1030000,2012,2014,3,solar_power
"FRANKLIN SQUARE GROUP, LLC",1,0,0,2010,2010,1,solar_power
FREEMYER & ASSOCIATES P.C.,1,0,0,2010,2010,1,solar_power
FRINZI & ASSOCIATES,4,0,0,2018,2018,1,solar_power
FTI GOVERNMENT AFFAIRS,6,0,0,2021,2021,1,solar_power
"GDF SUEZ ENERGY NORTH AMERICA, INC.",1,80000,80000,2011,2011,1,solar_power
GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),12,5679166.666666667,68150000,2010,2013,4,solar_power
GEORG I. ABAKUMOV,1,0,0,2011,2011,1,solar_power
GEPHARDT GROUP GOVERNMENT AFFAIRS,5,0,0,2014,2014,1,solar_power
GREEN CAPITOL LLC,13,0,0,2017,2021,4,solar_power
"GREENPEACE, INC.",1,14543.99,14543.99,2011,2011,1,solar_power
HANKA ADVISOR LLC,8,0,0,2017,2018,2,solar_power
HBW RESOURCES,24,0,0,2014,2020,5,solar_power
"HECHT LATHAM SPENCER & ASSOCIATES, INC., FORMERLY KNOWN AS HECHT SPENCER & ASSOC",7,0,0,2011,2012,2,solar_power
"HEMLOCK SEMICONDUCTOR OPERATIONS, LLC",1,100000,100000,2021,2021,1,solar_power
"HITACHI ENERGY USA INC. F/K/A/ ABB ENTERPRISE SOFTWARE, INC.",4,60000,240000,2020,2021,2,solar_power
HOGAN LOVELLS US LLP,8,0,0,2017,2018,2,solar_power
HOLLAND & KNIGHT LLP,7,0,0,2012,2021,3,solar_power
HOLLY EVANS,1,0,0,2010,2010,1,solar_power
"INT'L. ASSOCIATION OF BRIDGE, STRUCTURAL, ORNAMENTAL & REINFORCING IRON WORKERS",2,95000,190000,2020,2021,2,solar_power
INTERNATIONAL ASSOCIATION OF PLUMBING AND MECHANICAL OFFICIALS,1,20000,20000,2015,2015,1,solar_power
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,1,232502,232502,2011,2011,1,solar_power
INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM),1,1120000,1120000,2009,2009,1,solar_power
INTERNATIONAL CODE COUNCIL (ICC),2,5000,10000,2020,2020,1,solar_power
INTERNATIONAL HEALTH RACQUET & SPORTSCLUB ASSOCIATION,1,40000,40000,2011,2011,1,solar_power
INTERNATIONAL UNION OF OPERATING ENGINEERS,4,160000,640000,2020,2021,2,solar_power
INVARIANT LLC,2,0,0,2021,2021,1,solar_power
J M BURKMAN & ASSOCIATES,6,0,0,2013,2014,2,solar_power
JAKE PERRY + PARTNERS,1,0,0,2021,2021,1,solar_power
JENNEFER HIRSHBERG,1,0,0,2010,2010,1,solar_power
"JIM MASSIE & PARTNERS, LLC",9,0,0,2017,2019,3,solar_power
JINKOSOLAR (U.S.) INC.,3,90000,270000,2021,2021,1,solar_power
JLV STRATEGIES LLC,1,0,0,2017,2017,1,solar_power
"JMH GROUP, FORMERLY JAMIAN MCELROY & HAMLIN, LLC",3,0,0,2012,2014,3,solar_power
JMS CONSULTING LLC,2,0,0,2013,2013,1,solar_power
"JOHN T. DOOLITTLE, LLC",3,0,0,2015,2015,1,solar_power
"JONES WALKER, LLP",1,0,0,2010,2010,1,solar_power
"K&L GATES, LLP",26,0,0,2009,2021,6,solar_power
"KANNER & ASSOCIATES, LLC",13,0,0,2011,2012,2,solar_power
"KEARNEY, DONOVAN & MCGEE",7,0,0,2010,2021,4,solar_power
KIT BOND STRATEGIES,9,0,0,2019,2021,3,solar_power
KLEIN/JOHNSON GROUP,4,0,0,2021,2021,1,solar_power
"KOGOVSEK & ASSOCIATES, INC.",6,0,0,2013,2014,2,solar_power
"KOUNTOUPES DENHAM CARR & REID, LLC",1,0,0,2021,2021,1,solar_power
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,7,304285.71428571426,2130000,2013,2015,3,solar_power
LAW OFFICES OF KEVIN G. CURTIN,9,0,0,2018,2021,4,solar_power
LEAGUE OF CONSERVATION VOTERS,2,60000,120000,2011,2021,2,solar_power
LEVICK STRATEGIC COMMUNICATIONS,6,0,0,2014,2015,2,solar_power
"LEWIS-BURKE ASSOCIATES, LLC",42,0,0,2010,2021,11,solar_power
LOCKHEED MARTIN CORPORATION,2,3115000,6230000,2010,2010,1,solar_power
LOT SIXTEEN LLC,6,0,0,2020,2021,2,solar_power
"MADDOX STRATEGIES, LLC",3,0,0,2011,2013,2,solar_power
MANZANO STRATEGIES LLC BUSINESS DEVELOPMENT UNIT,2,0,0,2010,2010,1,solar_power
"MARCUS G. FAUST, PC",10,0,0,2010,2021,4,solar_power
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2,52984,105968,2010,2010,1,solar_power
"MCALLISTER & QUINN, LLC",1,0,0,2021,2021,1,solar_power
MCAPITOL MANAGEMENT,7,0,0,2010,2012,3,solar_power
"MEGGITT-USA, INC.",3,200000,600000,2016,2016,1,solar_power
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",13,0,0,2010,2013,4,solar_power
MELLON FINANCIAL SERVICES CORPORATION #1,1,200000,200000,2015,2015,1,solar_power
"MERCURY PUBLIC AFFAIRS, LLC",10,0,0,2010,2013,4,solar_power
"MISSY EDWARDS STRATEGIES, LLC",1,0,0,2021,2021,1,solar_power
"ML STRATEGIES, LLC",36,0,0,2010,2016,7,solar_power
"MOFFETT GROUP, LLC",1,0,0,2012,2012,1,solar_power
MONUMENT ADVOCACY,1,0,0,2013,2013,1,solar_power
"MORGAN MEGUIRE, LLC",17,0,0,2016,2016,1,solar_power
MR. AARON OESTERLE,6,0,0,2019,2020,2,solar_power
MR. BRIAN GLACKIN,5,0,0,2019,2020,2,solar_power
MR. GRANT CARLISLE,2,0,0,2021,2021,1,solar_power
MR. MARK KOPEC,3,0,0,2014,2015,2,solar_power
MR. RICHARD GOODSTEIN,13,0,0,2010,2014,5,solar_power
MR. VINCENT FRILLICI,9,0,0,2016,2018,3,solar_power
NATIONAL ASSOCIATION OF MANUFACTURERS,1,2230000,2230000,2015,2015,1,solar_power
NATIONAL ASSOCIATION OF REALTORS,2,9660000,19320000,2015,2017,2,solar_power
NATIONAL FIRE PROTECTION ASSOCIATION,7,0,0,2011,2012,2,solar_power
NATIONAL GRID USA,11,395454.54545454547,4350000,2010,2021,4,solar_power
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",1,450000,450000,2015,2015,1,solar_power
NATIONAL OCEAN INDUSTRIES ASSOCIATION,3,70000,210000,2020,2020,1,solar_power
NATIONAL ROOFING CONTRACTORS ASSOCIATION,4,200000,800000,2020,2021,2,solar_power
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),3,573333.3333333334,1720000,2015,2020,3,solar_power
NATIONAL SMALL BUSINESS ASSOCIATION,6,48666.666666666664,292000,2013,2014,2,solar_power
NATIONAL TRUST FOR HISTORIC PRESERVATION,1,40000,40000,2011,2011,1,solar_power
NATIONAL WILDLIFE FEDERATION,3,106666.66666666667,320000,2011,2015,2,solar_power
NATURAL RESOURCES DEFENSE COUNCIL,1,299540,299540,2019,2019,1,solar_power
"NEXTERA ENERGY, INC.",2,1220000,2440000,2010,2014,2,solar_power
NORTH CAROLINA STATE UNIVERSITY,32,40312.5,1290000,2010,2020,9,solar_power
NORTHWESTERN UNIV,7,161678,1131746,2013,2016,2,solar_power
NOSSAMAN LLP,7,0,0,2019,2020,2,solar_power
"NUCOR CORPORATION (FORMERLY NUCOR PUBLIC AFFAIRS, INC.)",3,573333.3333333334,1720000,2021,2021,1,solar_power
"O'NEILL, ATHY & CASEY, P.C.",20,0,0,2011,2015,5,solar_power
OGILVY GOVERNMENT RELATIONS,24,0,0,2010,2016,7,solar_power
OHIO FARM BUREAU FEDERATION,11,52727.27272727273,580000,2019,2021,3,solar_power
OHIO MUNICIPAL ELECTRIC ASSOCIATION,2,75000,150000,2012,2012,1,solar_power
OREGON FARM BUREAU FEDERATION,2,15750,31500,2017,2021,2,solar_power
OWEN EVANS INGOLS,2,0,0,2014,2019,2,solar_power
PANASONIC CORPORATION OF NORTH AMERICA (PNA),22,111818.18181818182,2460000,2011,2020,7,solar_power
"PARK STRATEGIES, LLC",1,0,0,2012,2012,1,solar_power
"PEPCO HOLDINGS, INC.",4,317500,1270000,2013,2016,3,solar_power
"PERRY BAYLISS GOVERNMENT RELATIONS, LLC",1,0,0,2016,2016,1,solar_power
PINNACLE WEST CAPITAL CORPORATION,3,186666.66666666666,560000,2014,2014,1,solar_power
"PODESTA GROUP, INC.",54,0,0,2012,2017,6,solar_power
"POLICY INTEGRATION PARTNERS, LLC",2,0,0,2021,2021,1,solar_power
"PORTER GROUP, LLC",1,0,0,2019,2019,1,solar_power
PORTLAND GENERAL ELECTRIC,7,78571.42857142857,550000,2015,2021,4,solar_power
"PPG INDUSTRIES, INC",4,232093.5925,928374.37,2010,2012,3,solar_power
PPL CORPORATION,1,70000,70000,2015,2015,1,solar_power
"PROLOGIS, L.P.",1,110000,110000,2021,2021,1,solar_power
PUBLIC SERVICE ENTERPRISE GROUP,4,440000,1760000,2014,2016,2,solar_power
QGA PUBLIC AFFAIRS (FORMERLY QUINN GILLESPIE & ASSOCIATES),5,0,0,2010,2011,2,solar_power
QUANEX BUILDING PRODUCTS CORPORATION,1,0,0,2011,2011,1,solar_power
"RECURRENT ENERGY, LLC",12,95000,1140000,2013,2018,5,solar_power
RES-AMERICAS,5,10000,50000,2015,2016,2,solar_power
ROBERT BOSCH LLC,5,148000,740000,2012,2013,2,solar_power
"ROBERTSON, MONAGLE, AND EASTAUGH",1,0,0,2015,2015,1,solar_power
ROCK CREEK COUNSEL,2,0,0,2021,2021,1,solar_power
RUBIN AND RUDMAN LLP,1,0,0,2017,2017,1,solar_power
RUSS REID COMPANY,1,0,0,2011,2011,1,solar_power
RYAN COSTELLO STRATEGIES,4,0,0,2020,2020,1,solar_power
S-3 GROUP,5,0,0,2018,2018,1,solar_power
SC PARTNERS LLC,111,0,0,2010,2021,12,solar_power
"SCHOTT NORTH AMERICA, INC.",3,119166.66666666667,357500,2010,2011,2,solar_power
SEMI (FKA SEMICONDUCTOR EQUIPMENT AND MATERIALS INTERNATIONAL),21,90476.19047619047,1900000,2007,2017,7,solar_power
SEMPRA ENERGY,2,245000,490000,2010,2010,1,solar_power
"SHELL USA, INC. (FKA SHELL OIL COMPANY)",4,1920000,7680000,2019,2020,2,solar_power
SIERRA CLUB,7,120000,840000,2011,2020,3,solar_power
"SIGNAL GROUP CONSULTING, LLC",20,0,0,2010,2017,5,solar_power
SIMON AND COMPANY,4,0,0,2016,2021,2,solar_power
SMIRNOW LAW,3,0,0,2017,2017,1,solar_power
"SMITH CONSULTING GROUP, INC.",19,0,0,2017,2021,5,solar_power
SOCIETY FOR AMERICAN ARCHAEOLOGY,1,0,0,2011,2011,1,solar_power
SOLAR ENERGY INDUSTRIES ASSOCIATION,59,296164.0918644068,17473681.42,2010,2021,12,solar_power
SOLARCITY,12,109166.66666666667,1310000,2010,2015,5,solar_power
"SOLYNDRA, INC.",1,210000,210000,2010,2010,1,solar_power
SOUTHERN COMPANY,1,2190000,2190000,2021,2021,1,solar_power
SQUIRE PATTON BOGGS,32,0,0,2009,2019,8,solar_power
"SQUIRE SANDERS PUBLIC ADVOCACY, LLC",3,0,0,2014,2014,1,solar_power
"STATE STREET PARTNERS, L.L.C.",2,0,0,2011,2011,1,solar_power
STEPTOE & JOHNSON LLP,2,0,0,2021,2021,1,solar_power
"STRATEGIC PARTNERS, INC.",18,0,0,2011,2014,4,solar_power
"STUNTZ DAVIS & STAFFIER, P.C.",1,0,0,2014,2014,1,solar_power
SUNRUN INC.,13,46538.46153846154,605000,2014,2020,6,solar_power
"SWF CONSULTING, L.L.C.",14,0,0,2012,2014,3,solar_power
SWINERTON BUILDERS,5,108000,540000,2020,2021,2,solar_power
TARGET CORPORATION,1,210000,210000,2015,2015,1,solar_power
"TECO ENERGY, INC.",3,126666.66666666667,380000,2015,2018,2,solar_power
"TENNESSEE VALLEY PUBLIC POWER ASSOCIATION, INC. (TVPPA)",2,50000,100000,2016,2016,1,solar_power
TESLA INC.,19,160526.31578947368,3050000,2017,2021,5,solar_power
THE ACCORD GROUP,10,0,0,2010,2013,4,solar_power
"THE ALUMINUM ASSOCIATION, INC.",1,40000,40000,2021,2021,1,solar_power
THE AMERICAN INSTITUTE OF ARCHITECTS,1,50000,50000,2011,2011,1,solar_power
THE BRIGHTUP GROUP LLC,1,0,0,2020,2020,1,solar_power
"THE DOW CHEMICAL COMPANY, DBA DOW",6,1834166.6666666667,11005000,2010,2012,3,solar_power
"THE FERGUSON GROUP, LLC",1,0,0,2011,2011,1,solar_power
"THE LIVINGSTON GROUP, LLC",21,0,0,2011,2021,5,solar_power
THE NATURE CONSERVANCY,21,332857.14285714284,6990000,2010,2020,7,solar_power
"THE NORMANDY GROUP, LLC",2,0,0,2010,2010,1,solar_power
THE PENNSYLVANIA AVENUE GROUP,4,0,0,2010,2011,2,solar_power
THE UNIVERSITY OF NORTH CAROLINA SYSTEM,5,116811.684,584058.42,2010,2011,2,solar_power
THE WASHINGTON TAX & PUBLIC POLICY GROUP (FORMERLY THE WASHINGTON TAX GROUP),8,0,0,2010,2017,3,solar_power
THE WESSEL GROUP INCORPORATED,18,0,0,2011,2021,6,solar_power
THE WILDERNESS SOCIETY,17,85176.4705882353,1448000,2011,2016,5,solar_power
"THOMAS WALTERS & ASSOCIATES, INC.",4,0,0,2011,2011,1,solar_power
THOMPSON CONSULTING GROUP,11,0,0,2010,2013,4,solar_power
TIBER CREEK GROUP,1,0,0,2021,2021,1,solar_power
"TIM YEHL, LLC",1,0,0,2010,2010,1,solar_power
"TROUTMAN PEPPER HAMILTON SANDERS, LLP",2,0,0,2010,2011,2,solar_power
"TROUTMAN PEPPER STRATEGIES, LLC (FKA TROUTMAN SANDERS PUBLIC AFFAIRS GROUP, LLC)",3,0,0,2014,2014,1,solar_power
"TRUEBLUE, INC.",1,60000,60000,2020,2020,1,solar_power
U.S. PUBLIC INTEREST RESEARCH GROUP,3,10000,30000,2019,2020,2,solar_power
UIL HOLDINGS CORPORATION,1,0,0,2015,2015,1,solar_power
UNITED ASSN OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY,4,162500,650000,2020,2021,2,solar_power
"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY",1,300000,300000,2020,2020,1,solar_power
UNIVERSITY OF COLORADO,7,171264.47857142857,1198851.35,2011,2016,4,solar_power
UNIVERSITY OF HOUSTON SYSTEM,1,30000,30000,2010,2010,1,solar_power
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,10,88000,880000,2010,2012,3,solar_power
VAN FLEET ASSOCIATES,1,0,0,2017,2017,1,solar_power
"VAN HEUVELEN STRATEGIES, LLC",11,0,0,2010,2021,4,solar_power
VAN SCOYOC ASSOCIATES,34,0,0,2010,2020,7,solar_power
"VANTAGE KNIGHT, INC.",16,0,0,2018,2019,2,solar_power
VENABLE LLP,2,0,0,2018,2021,2,solar_power
"WATER STRATEGIES, LLC",6,0,0,2010,2011,2,solar_power
WEST FRONT STRATEGIES LLC,19,0,0,2015,2018,4,solar_power
"WEST HARLEM ENVIRONMENTAL ACTION, INC.",5,0,0,2021,2021,1,solar_power
WESTERN ORGANIZATION OF RESOURCE COUNCILS,1,0,0,2020,2020,1,solar_power
WEYERHAEUSER COMPANY,1,410000,410000,2010,2010,1,solar_power
WHEAT GOVERNMENT RELATIONS,3,0,0,2011,2012,2,solar_power
"WHITMER & WORRALL, LLC",8,0,0,2010,2018,4,solar_power
"WILLIAMS AND JENSEN, PLLC",15,0,0,2010,2014,5,solar_power
WINNING STRATEGIES WASHINGTON,5,0,0,2010,2021,3,solar_power
"XCEL ENERGY, INC",11,477272.7272727273,5250000,2013,2021,5,solar_power
ADVANCED CAPITOL CONSULTING,6,0,0,2011,2011,1,hydropower
"ADVANCED POLICY CONSULTING, LLC",8,0,0,2017,2018,2,hydropower
"AJW, INC.",1,0,0,2015,2015,1,hydropower
ALLIANT ENERGY CORPORATION,10,116000,1160000,2013,2020,4,hydropower
ALSTOM TRANSPORTATION INC.,22,16226002.545454545,356972056,2011,2015,5,hydropower
AMEREN SERVICES,8,810000,6480000,2010,2017,4,hydropower
AMERICAN ASSOCIATION OF PORT AUTHORITIES,3,365000,1095000,2020,2020,1,hydropower
"AMERICAN ELECTRIC POWER COMPANY, INC. AND AFFILIATED CORPORATIONS",4,1803906.75,7215627,2017,2020,2,hydropower
AMERICAN PUBLIC POWER ASSOCIATION,51,188689.66666666666,9623173,2008,2021,14,hydropower
AMERICAN RIVERS,32,30482.8603125,975451.53,2010,2018,8,hydropower
"ANNDYL POLICY GROUP, LLC",5,0,0,2011,2013,2,hydropower
ASSOCIATION OF CALIFORNIA WATER AGENCIES,12,105000,1260000,2011,2013,3,hydropower
ASSOCIATION OF FISH AND WILDLIFE AGENCIES,20,81500,1630000,2017,2021,5,hydropower
"BALCH & BINGHAM, LLP",2,0,0,2021,2021,1,hydropower
BALL JANIK LLP,14,0,0,2011,2013,3,hydropower
BAYER CORPORATION (CONSOLIDATED REPORT),7,1378617.2857142857,9650321,2011,2012,2,hydropower
BERKSHIRE HATHAWAY ENERGY (FORMERLY MIDAMERICAN ENERGY HOLDINGS COMPANY),34,285508.35294117645,9707284,2011,2021,11,hydropower
BLACK & VEATCH,1,46877.65,46877.65,2012,2012,1,hydropower
BLACK HILLS CORPORATION,12,24166.666666666668,290000,2019,2021,3,hydropower
BROOKFIELD POWER US ASSET MANAGEMENT LLC,6,76666.66666666667,460000,2010,2020,3,hydropower
BROOKFIELD RENEWABLE,1,0,0,2017,2017,1,hydropower
BROOKFIELD RENEWABLE ENERGY MARKETING US LLC,7,27142.85714285714,190000,2019,2019,1,hydropower
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",9,0,0,2017,2019,3,hydropower
"BUILDING AND CONSTRUCTION TRADES DEPT., AFL-CIO",1,180000,180000,2017,2017,1,hydropower
BUSINESS COUNCIL FOR SUSTAINABLE ENERGY,18,36248.20055555556,652467.61,2011,2020,5,hydropower
BUTTERFIELD EVANS & ASSOCIATES LLC,2,0,0,2010,2011,2,hydropower
"CARDINAL POINT PARTNERS, LLC",1,0,0,2012,2012,1,hydropower
"CASSIDY & ASSOCIATES, INC.",33,0,0,2015,2018,4,hydropower
CENTERPOINT ENERGY,1,15000,15000,2011,2011,1,hydropower
"CITIZENS FOR RESPONSIBLE ENERGY SOLUTIONS, INC.",3,276666.6666666667,830000,2020,2021,2,hydropower
CLAUSTEN LLC,18,0,0,2015,2021,5,hydropower
"CLEARPATH ACTION FOR CONSERVATIVE CLEAN ENERGY, INC.",1,60000,60000,2017,2017,1,hydropower
CMS ENERGY CORP,30,302000,9060000,2011,2021,7,hydropower
COLORADO SPRINGS UTILITIES,7,57000,399000,2011,2019,4,hydropower
"CROSSROADS STRATEGIES, LLC",3,0,0,2018,2018,1,hydropower
"DAVID L. HORNE, LLC",4,0,0,2014,2017,2,hydropower
DAVISON VAN CLEVE,3,0,0,2021,2021,1,hydropower
DEFENDERS OF WILDLIFE,3,64919.333333333336,194758,2012,2013,2,hydropower
DIAMOND FOUNDRY,2,5000,10000,2021,2021,1,hydropower
"DOMINION ENERGY, INC.",3,400000,1200000,2017,2017,1,hydropower
"DOTCHIN & ASSOCIATES, LLC",7,0,0,2019,2020,2,hydropower
DTE ENERGY,17,218823.5294117647,3720000,2015,2020,6,hydropower
DUKE ENERGY CORPORATION,22,1545423.8181818181,33999324,2011,2021,6,hydropower
"DUPONT DE NEMOURS, INC.",4,562500,2250000,2021,2021,1,hydropower
"DUTKO WORLDWIDE, LLC",43,0,0,2011,2021,11,hydropower
"E2 STRATEGIES, LLC",4,0,0,2017,2018,2,hydropower
EARTHJUSTICE,14,156408.3157142857,2189716.42,2012,2018,4,hydropower
EDISON ELECTRIC INSTITUTE,20,2230714,44614280,2011,2021,7,hydropower
EDISON INTERNATIONAL,2,453500,907000,2011,2017,2,hydropower
"ENEL NORTH AMERICA, INC. AND ITS AFFILIATES",17,36162.330588235294,614759.62,2012,2020,8,hydropower
"ENS RESOURCES, INC.",7,0,0,2013,2018,3,hydropower
"ENTERGY SERVICES, LLC",1,420000,420000,2019,2019,1,hydropower
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),35,0,0,2010,2019,10,hydropower
EUGENE GUILFORD,1,0,0,2017,2017,1,hydropower
EVERSOURCE ENERGY SERVICE COMPANY,1,410000,410000,2011,2011,1,hydropower
"EXELON BUSINESS SERVICES, LLC",17,1389739.9117647058,23625578.5,2010,2021,6,hydropower
FARRAGUT PARTNERS LLP,4,0,0,2018,2019,2,hydropower
FORBES-TATE,17,0,0,2017,2021,5,hydropower
FRIENDS COMMITTEE ON NATIONAL LEGISLATION,4,747500,2990000,2016,2016,1,hydropower
"GDF SUEZ ENERGY NORTH AMERICA, INC.",5,90000,450000,2012,2014,2,hydropower
"GRAND CANYON STATE ELECTRIC COOPERATIVE ASSOCIATION, INC.",19,0,0,2017,2021,5,hydropower
"GREEN STRATEGIES, INC.",11,0,0,2013,2016,3,hydropower
"H STREET CAPITOL STRATEGIES, LLC",6,0,0,2015,2016,2,hydropower
HOLLAND & KNIGHT LLP,74,0,0,2014,2021,8,hydropower
"INTEGRYS ENERGY GROUP, INC.",2,20000,40000,2015,2015,1,hydropower
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,1,297561,297561,2015,2015,1,hydropower
INTERNATIONAL UNION OF OPERATING ENGINEERS,7,138571.42857142858,970000,2011,2020,3,hydropower
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,2,120000,240000,2012,2013,2,hydropower
INVARIANT LLC,8,0,0,2010,2016,4,hydropower
ITC HOLDINGS CORP.,6,613333.3333333334,3680000,2017,2019,3,hydropower
"K&L GATES, LLP",3,0,0,2018,2018,1,hydropower
"KANNER & ASSOCIATES, LLC",125,0,0,2011,2018,8,hydropower
"KEARNEY, DONOVAN & MCGEE",2,0,0,2020,2020,1,hydropower
KILPATRICK TOWNSEND STOCKTON LLP,36,0,0,2015,2021,6,hydropower
